artist_name,artist_id,album_id,album_release_date,album_release_year,duration_ms,danceability
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,201420,0.4
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,208278,0.456
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,229229,0.431
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,310598,0.408
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,235922,0.51
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,288573,0.378
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,216959,0.273
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,221585,0.464
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,227952,0.476
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,249834,0.422
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,275755,0.38
The National,2cCUtGK9sDU2EoElnk0GNB,2qkziMtty89VX13g27aIFL,2018-07-13,2018,265976,0.542
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,280773,0.657
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,271533,0.432
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,359360,0.727
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,236746,0.596
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,262679,0.528
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,180000,0.427
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,323760,0.593
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,315280,0.536
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,338973,0.368
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,213733,0.54
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,290093,0.642
The National,2cCUtGK9sDU2EoElnk0GNB,2lsM7Py65EOtlq8BgwkXCS,2017-09-08,2017,393186,0.451
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,248043,0.519
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,211546,0.54
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,285533,0.45
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,178106,0.483
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,221440,0.459
